Product,Old Target,New Target,Target Change,Old Revenue,New Revenue,Revenue Change,Old Freq Below,New Freq Below,Old Freq Above,New Freq Above,Old Margin,New Margin,Margin Change,Improved
Enormous Steel Clock,2573,1479,-1094,17133,17133,0,3,2,0,1,-11170,864,12034,YES
Incredible Copper Bench,3132,2245,-887,30742,30742,0,3,0,0,3,-9974,1557,11531,YES
Small Marble Keyboard,3244,2172,-1072,22875,22875,0,2,1,0,1,-9565,1155,10720,YES
Intelligent Plastic Keyboard,3307,2143,-1164,20309,20309,0,2,0,0,2,-9454,1022,10476,YES
Rustic Steel Computer,3020,1884,-1136,17860,17860,0,3,1,0,2,-9320,904,10224,YES
Synergistic Leather Bag,3105,2435,-670,38465,38465,0,3,2,1,2,-8110,1940,10050,YES
Ergonomic Cotton Coat,2862,1665,-1197,14031,14031,0,2,0,0,2,-8865,711,9576,YES
Lightweight Leather Gloves,2995,2146,-849,22590,22590,0,2,1,0,1,-7360,1130,8490,YES
Enormous Paper Watch,2530,1393,-1137,10271,10271,0,3,1,0,2,-7439,520,7959,YES
Aerodynamic Cotton Wallet,2703,1911,-792,20120,20120,0,2,0,0,2,-6910,1010,7920,YES
Sleek Bronze Watch,3277,2292,-985,19311,19311,0,2,1,0,1,-6905,975,7880,YES
Fantastic Plastic Bag,3059,2217,-842,21013,21013,0,2,1,0,1,-6518,1060,7578,YES
Small Leather Hat,2290,1541,-749,16233,16233,0,4,3,0,1,-6667,823,7490,YES
Gorgeous Marble Clock,2903,1676,-1227,10591,10591,0,2,0,0,2,-6827,535,7362,YES
Aerodynamic Wooden Lamp,2522,1296,-1226,8192,8192,0,2,1,0,1,-6940,416,7356,YES
Lightweight Rubber Car,2233,1214,-1019,8948,8948,0,3,1,0,2,-6683,450,7133,YES
Lightweight Wooden Plate,2874,1459,-1415,7680,7680,0,1,0,0,1,-6690,385,7075,YES
Intelligent Cotton Clock,3039,1860,-1179,11748,11748,0,2,1,0,1,-6486,588,7074,YES
Synergistic Iron Keyboard,2480,1773,-707,18672,18672,0,3,2,1,2,-6128,942,7070,YES
Durable Iron Pants,3073,1667,-1406,8715,8715,0,1,0,0,1,-6650,380,7030,YES
Synergistic Copper Bench,2956,1960,-996,14453,14453,0,2,0,0,2,-6239,733,6972,YES
Durable Rubber Knife,2614,1242,-1372,6540,6540,0,1,0,0,1,-6530,330,6860,YES
