Product,Old Target,New Target,Target Change,Old Revenue,New Revenue,Revenue Change,Old Freq Below,New Freq Below,Old Freq Above,New Freq Above,Old Margin,New Margin,Margin Change,Improved
Heavy Duty Rubber Pants,2995,2026,-969,32006,32006,0,4,1,0,3,-12919,1616,14535,YES
Enormous Iron Chair,3371,2246,-1125,18920,18920,0,2,1,0,1,-8048,952,9000,YES
Enormous Copper Watch,2590,1736,-854,18285,18285,0,2,0,0,2,-7615,925,8540,YES
Practical Aluminum Coat,3186,1769,-1417,11178,11178,0,2,1,0,1,-7938,564,8502,YES
Synergistic Marble Bag,3106,2044,-1062,17223,17223,0,2,0,0,2,-7625,871,8496,YES
Small Steel Pants,2313,1253,-1060,10442,10442,0,2,0,0,2,-8062,418,8480,YES
Small Wool Shirt,3125,2278,-847,23981,23981,0,3,2,1,2,-7269,1201,8470,YES
Gorgeous Granite Plate,2439,1876,-563,29634,29634,0,4,1,0,3,-6951,1494,8445,YES
Practical Marble Shirt,2956,2138,-818,22517,22517,0,3,1,0,2,-7043,1137,8180,YES
Rustic Wool Lamp,2307,1799,-508,30315,30315,0,4,1,0,3,-6597,1531,8128,YES
Heavy Duty Aluminum Table,2470,1472,-998,12401,12401,0,2,1,0,1,-7359,625,7984,YES
Small Wool Knife,2212,1658,-554,24454,24454,0,3,2,1,2,-6514,1242,7756,YES
Fantastic Linen Shirt,2431,2008,-423,38064,38064,0,4,3,1,2,-5694,1920,7614,YES
Practical Plastic Shirt,2443,1816,-627,22947,22947,0,3,1,0,2,-6369,1155,7524,YES
Awesome Wool Shoes,2952,2129,-823,20179,20179,0,3,3,1,1,-6389,1018,7407,YES
Incredible Steel Wallet,2809,1891,-918,15933,15933,0,2,0,0,2,-6539,805,7344,YES
Practical Wooden Watch,2514,1480,-1034,10906,10906,0,2,1,0,1,-6692,546,7238,YES
Intelligent Granite Gloves,2569,1123,-1446,5915,5915,0,1,0,0,1,-6930,300,7230,YES
Heavy Duty Plastic Plate,3028,2225,-803,21093,21093,0,2,1,0,1,-6159,1068,7227,YES
Fantastic Plastic Clock,2711,1509,-1202,9536,9536,0,2,0,0,2,-6730,482,7212,YES
Synergistic Leather Knife,3012,2212,-800,20968,20968,0,2,0,0,2,-6140,1060,7200,YES
Awesome Copper Chair,2502,1622,-880,13671,13671,0,3,0,0,3,-6345,695,7040,YES
Aerodynamic Rubber Plate,2997,1589,-1408,8365,8365,0,1,0,0,1,-6620,420,7040,YES
Synergistic Paper Table,3159,2166,-993,15967,15967,0,2,1,0,1,-6146,805,6951,YES
Enormous Silk Pants,2505,1379,-1126,8716,8716,0,2,1,0,1,-6314,442,6756,YES
Heavy Duty Marble Pants,2404,1279,-1125,8084,8084,0,2,1,0,1,-6340,410,6750,YES
Rustic Marble Gloves,3049,2300,-749,21803,21803,0,2,0,0,2,-5638,1103,6741,YES
Heavy Duty Leather Shoes,2586,2197,-389,39325,39325,0,4,3,1,2,-4637,1976,6613,YES
Rustic Iron Bag,1914,1187,-727,11255,11255,0,2,0,0,2,-5971,572,6543,YES
Enormous Granite Bench,2737,1432,-1305,7544,7544,0,2,1,0,1,-6141,384,6525,YES
Fantastic Plastic Knife,2036,1315,-721,12468,12468,0,2,1,0,1,-5856,633,6489,YES
Awesome Aluminum Car,2019,1587,-432,25077,25077,0,3,2,1,2,-5208,1272,6480,YES
Aerodynamic Aluminum Knife,2965,1897,-1068,11986,11986,0,2,1,0,1,-5804,604,6408,YES
Mediocre Plastic Clock,2819,1543,-1276,8125,8125,0,1,0,0,1,-5970,410,6380,YES
